,ID,Name,Latitude,Longitude,BikesAvailable,EmptySlots,Installed,Locked,Temporary,UpdateTime
126,139,"Lambeth Road, Vauxhall",51.49488108,-0.117974901,17.0,1,True,False,False,10:30
127,138,"Green Street, Mayfair",51.51227622,-0.15743697199999998,4.0,14,True,False,False,10:30
128,141,"Chapel Place, Marylebone",51.51530805,-0.147203711,21.0,8,True,False,False,10:30
129,140,"Finsbury Square , Moorgate",51.52096262,-0.085634242,25.0,8,True,False,False,10:30
130,143,"Pont Street, Knightsbridge",51.4968865,-0.16120382800000002,22.0,2,True,False,False,10:30
131,142,"West Cromwell Road, Earl's Court",51.49372451,-0.198286569,0.0,23,True,False,False,10:30
132,129,"Golden Square, Soho",51.5118973,-0.137043852,15.0,3,True,False,False,10:30
133,128,"Emperor's Gate, South Kensington",51.49536226,-0.18529651600000002,1.0,21,True,False,False,10:30
134,131,"Eversholt Street , Camden Town",51.53300545,-0.136792671,6.0,10,True,False,False,10:30
135,130,"Tower Gardens , Tower",51.50950627,-0.07545948200000001,23.0,0,True,False,False,10:30
136,133,"Derry Street, Kensington",51.50136494,-0.19146238100000001,15.0,2,True,False,False,10:30
137,132,"Bethnal Green Road, Shoreditch",51.52364804,-0.074754872,0.0,33,True,False,False,10:30
138,135,"Clerkenwell Green, Clerkenwell",51.52326004,-0.104708922,17.0,3,True,False,False,10:30
139,134,"Wapping High Street, Wapping",51.504903999999996,-0.06797,12.0,8,True,False,False,10:30
140,152,"Hampton Street, Walworth",51.49217002,-0.101536865,0.0,19,True,False,False,10:30
141,153,"Bayswater Road, Hyde Park",51.51183419,-0.174292825,11.0,15,True,False,False,10:30
142,154,"Waterloo Station 3, Waterloo",51.50379168,-0.11282408,0.0,33,True,False,False,10:30
143,155,"Lexham Gardens, Kensington",51.49586666,-0.191933711,1.0,17,True,False,False,10:30
144,156,"New Kent Road, Borough",51.49443626,-0.092921165,13.0,20,True,False,False,10:30
145,157,"Wright's Lane, Kensington",51.50039792,-0.193068385,10.0,26,True,False,False,10:30
146,158,"Trebovir Road, Earl's Court",51.49085368,-0.196170309,14.0,3,True,False,False,10:30
147,159,"Great Marlborough Street, Soho",51.51461995,-0.137841333,39.0,0,True,False,False,10:30
148,144,"Kennington Cross, Kennington",51.48894022,-0.11143579599999999,1.0,46,True,False,False,10:30
149,145,"Ilchester Place, Kensington",51.50074359,-0.202759212,10.0,14,True,False,False,10:30
150,146,"Vauxhall Bridge , Pimlico",51.48836528,-0.129361842,,13,True,False,False,10:30
151,147,"Portugal Street, Holborn",51.51494305,-0.11614642,10.0,5,True,False,False,10:30
152,148,"Tachbrook Street, Victoria",51.49211134,-0.13836484699999999,0.0,16,True,False,False,10:30
153,149,"Kennington Road Post Office, Oval",51.48478899,-0.110683213,4.0,13,True,False,False,10:30
154,150,"Holy Trinity Brompton, Knightsbridge",51.49705603,-0.168917077,10.0,18,True,False,False,10:30
155,151,"Chepstow Villas, Notting Hill",51.51213691,-0.201554966,0.0,26,True,False,False,10:30
156,171,"Collingham Gardens, Earl's Court",51.4916156,-0.186753859,3.0,10,True,False,False,10:30
157,170,"Hardwick Street, Clerkenwell",51.52784273,-0.108068155,22.0,8,True,False,False,10:30
158,169,"Porchester Place, Paddington",51.51474612,-0.16516428800000002,1.0,16,True,False,False,10:30
159,168,"Argyll Road, Kensington",51.50040123,-0.195455928,14.0,5,True,False,False,10:30
160,175,"Appold Street, Liverpool Street",51.52174384,-0.0811189,19.0,5,True,False,False,10:30
161,174,"Strand, Strand",51.512529,-0.11516300000000002,19.0,17,True,False,False,10:30
162,173,"Waterloo Roundabout, Waterloo",51.50486,-0.113001,3.0,11,True,False,False,10:30
163,172,"Sumner Place, South Kensington",51.49121192,-0.17371591100000003,18.0,0,True,False,False,10:30
164,163,"Sloane Avenue, Knightsbridge",51.4931848,-0.167894973,29.0,0,True,False,False,10:30
165,162,"Southampton Place, Holborn",51.51760685,-0.12132840800000001,7.0,12,True,False,False,10:30
166,161,"Guildhouse Street, Victoria",51.49234577,-0.14133448699999998,2.0,14,True,False,False,10:30
167,160,"Waterloo Place, St. James's",51.50663341,-0.131773845,19.0,0,True,False,False,10:30
168,166,"Seville Street, Knightsbridge",51.50185512,-0.159237081,10.0,17,True,False,False,10:30
